ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss
1_sun,sun,1343,SUN,太阳
2_star,star,1430,STAR,星星
3_sky,sky,1732,SKY,天空
4_cloud,cloud,1489,CLOUD,云
5_mist,mist,249,FOG,雾
6_rain,rain,658,RAIN (PRECIPITATION),雨
7_snow,snow,784,SNOW,雪
8_dew,dew,1977,DEW,露
9_wind,wind,960,WIND,风（刮风）
10_lightning,lightning,1654,LIGHTNING,闪电
11_thunder,thunder,1150,THUNDER,雷
12_year,year,1226,YEAR,年
13_moon,moon,1313,MOON,月
14_day,day,1225,DAY (NOT NIGHT),天（日）
15_night,night,1233,NIGHT,夜
16_morning,morning,1339,MORNING,上午
17_yesterday,yesterday,1174,YESTERDAY,昨天
18_tomorrow,tomorrow,1329,TOMORROW,明天
19_springsummer,spring/summer,,,春夏
20_autumnwinter,autumn/winter,,,秋冬
21_fire,fire,221,FIRE,火
22_ashes,ashes,646,ASH,灰（火灰）
23_smoke,smoke,1689,SMOKE (INHALE),烟（冒烟）
24_cigarette,cigarette,969,CIGARETTE,烟（吸烟）
25_water,water,948,WATER,水
26_steam,steam,1193,STEAM,蒸汽
27_river,river,3311,FLOWING BODY OF WATER,河
28_stream,stream,947,STREAM,溪
29_largepool,large pool,,,水塘（大的）
30_rock,rock,857,STONE,石头
31_earth,earth,1228,EARTH (SOIL),土，土壤
32_ground,ground,2159,GROUND,地（地下）
33_sand,sand,671,SAND,沙子（细的）
34_iron,iron,621,IRON,铁
35_mountain,mountain,639,MOUNTAIN,山（石山，大山）
36_hill,hill,614,HILL,丘陵（土山，小山）
37_cave,cave,1155,CAVE,洞（山洞）
38_tree,tree,906,TREE,树
39_firewood,firewood,10,FIREWOOD,木柴（柴火）
40_forest,forest,420,FOREST,树林
41_cypress,cypress,3243,CYPRESS,柏树
42_pine,pine,1740,PINE,杉树
43_maple,maple,3248,MAPLE TREE,枫树
44_vine,vine,343,VINE,藤子
45_thorn,thorn,124,THORN,荆棘
46_bamboo,bamboo,1927,BAMBOO,竹子
47_root,root,670,ROOT,根（树根）
48_branch,branch,1531,BRANCH,树枝（小的）
49_bark,bark,1204,BARK,树皮
50_leaf,leaf,628,LEAF,叶（树叶）
51_sprout,sprout,,,豆芽
52_flower,flower,239,FLOWER,花
53_bud,bud,1684,BUD,花苞
