001 	太阳 	sun
002 	星星 	star
003 	天空 	sky
004 	云 	cloud
005 	雾 	mist, fog
006 	雨 	rain
007 	雪 	snow
008 	露 	dew
009 	风（刮风） 	wind (blow a wind)
010 	闪电 	lightning
011 	雷 	thunder
012 	年 	year
013 	月 	moon
014 	天（日） 	day
015 	夜 	night
016 	上午 	morning
017 	昨天 	yesterday
018 	明天 	tomorrow
019 	春夏 	spring, summer
020 	秋冬 	autumn, winter
021 	火 	fire
022 	灰（火灰） 	ashes
023 	烟（冒烟） 	smoke
024 	烟（吸烟） 	cigarette
025 	水 	water
026 	蒸汽 	steam
027 	河 	river
028 	溪 	stream
029 	水塘（大的） 	large pool
030 	石头 	stone, rock
031 	土，土壤 	earth, mud
032 	地（地下） 	ground
033 	沙子（细的） 	sand
034 	铁 	iron
035 	山（石山，大山） 	mountain
036 	丘陵（土山，小山） 	hill
037 	洞（山洞） 	cave
038 	树 	tree
039 	木柴（柴火） 	wood, firewood
040 	树林 	forest
041 	柏树 	cypress, cedar
042 	杉树 	pine
043 	枫树 	maple tree
044 	藤子 	vine
045 	荆棘 	thorn
046 	竹子 	bamboo
047 	根（树根） 	root
048 	树枝（小的） 	branch
049 	树皮 	bark
050 	叶（树叶） 	leaf
051 	豆芽 	bean sprout
052 	花 	flower
053 	花苞 	bud
054 	个（水果，大的）〈量〉 	m.w. for fruit
055 	芭蕉 	banana
056 	梨 	pear
057 	猕猴桃 	kiwi fruit
058 	种子 	seed
059 	甘蔗 	sugarcane
060 	草（茅草） 	grass, grows on mountain, leaves are thinner and longer
061 	草（牛吃的） 	grass, grows by fields, leaves wider
062 	米，饭 	rice
063 	糯米 	sticky rice, glutinous rice
064 	小米 	millet
065 	糯米粑 	glutinous rice cake/dough
066 	秧（水稻的秧） 	seedling
067 	田（稻田） 	paddy, (wet) field
068 	地（干田） 	field (dry field), land (dry land)
069 	穗 	ear of grain
070 	糠 	chaff
071 	穗草（稻芯） 	top of rice stem, rice already harvested
072 	稻草 	rice grass, rice straw
073 	菜（蔬菜） 	vegetable
074 	菠菜 	spinach
075 	韭菜 	Chinese chives
076 	芫荽（香菜） 	coriander
077 	青菜（芥菜） 	green leaf vegetable (leaf mustard)
078 	豆 	bean
079 	豆荚 	bean pod
080 	芝麻 	sesame
081 	姜 	ginger
082 	辣椒 	chilli pepper
083 	花椒 	pricklyash
084 	芋头 	taro
085 	菌子 	mushroom, fungus
086 	霉 	mould
087 	牛（黄牛） 	ox
088 	水牛 	water buffalo
089 	猪 	pig
090 	野猪 	wild pig, wild boar
091 	羊（养的） 	goat, sheep (domestic)
092 	鸡 	chicken
093 	未下蛋的母鸡 	y. chicken
094 	鸭 	duck
095 	鹅 	goose
096 	鸟 	bird
097 	鸽子 	dove
098 	乌鸦 	crow
099 	马 	horse
100 	狗 	dog
101 	猫 	cat
102 	老虎 	tiger
103 	熊 	bear
104 	老鼠 	rat, mouse
105 	猴子 	monkey
106 	水獭 	otter
107 	穿山甲 	pangolin
108 	豪猪（箭猪） 	porcupine
109 	青蛙（小的） 	frog (small)
110 	乌龟（水里面） 	turtle
111 	螺蛳 	river snail
112 	螃蟹 	crab
113 	鱼 	fish
114 	鲫鱼 	crucian carp
115 	虾 	shrimp
